,isWeekend,Seasons,Holiday,Hour,isWorkingHour,Temperature,Humidity,Wind speed,Solar Radiation,Rented Bike Count
0,0,3,0,0,0,-5.2,37,1.4832396974191326,0.0,254
1,0,3,0,1,0,-5.5,38,0.8944271909999159,0.0,204
2,0,3,0,2,0,-6.0,39,1.0,0.0,173
3,0,3,0,3,0,-6.2,40,0.9486832980505138,0.0,107
4,0,3,0,4,0,-6.0,36,1.51657508881031,0.0,78
5,0,3,0,5,0,-6.4,37,1.224744871391589,0.0,100
6,0,3,0,6,0,-6.6,35,1.140175425099138,0.0,181
7,0,3,0,7,0,-7.4,38,0.9486832980505138,0.0,460
8,0,3,0,8,1,-7.6,37,1.0488088481701516,0.01,930
9,0,3,0,9,1,-6.5,27,0.7071067811865476,0.23,490
10,0,3,0,10,1,-3.5,24,1.0954451150103321,0.65,339
11,0,3,0,11,1,-0.5,21,1.140175425099138,0.94,360
12,0,3,0,12,1,1.7,23,1.1832159566199232,1.11,449
13,0,3,0,13,1,2.4,25,1.2649110640673518,1.16,451
14,0,3,0,14,1,3.0,26,1.4142135623730951,1.01,447
15,0,3,0,15,1,2.1,36,1.7888543819998317,0.54,463
16,0,3,0,16,1,1.2,54,2.04939015319192,0.24,484
17,0,3,0,17,1,0.8,58,1.2649110640673518,0.08,555
18,0,3,0,18,1,0.6,66,1.1832159566199232,0.0,862
19,0,3,0,19,1,0.0,77,1.3038404810405297,0.0,600
20,0,3,0,20,0,-0.3,79,1.224744871391589,0.0,426
21,0,3,0,21,0,-0.8,81,0.8944271909999159,0.0,405
22,0,3,0,22,0,-0.9,83,1.224744871391589,0.0,398
23,0,3,0,23,0,-1.3,84,1.0,0.0,323
24,1,3,0,0,0,-1.8,87,1.0488088481701516,0.0,328
25,1,3,0,1,0,-2.2,86,0.7745966692414834,0.0,308
26,1,3,0,2,0,-2.9,86,1.224744871391589,0.0,262
27,1,3,0,3,0,-3.5,81,1.4832396974191326,0.0,167
28,1,3,0,4,0,-3.8,79,1.4142135623730951,0.0,89
29,1,3,0,5,0,-4.0,79,1.224744871391589,0.0,79
30,1,3,0,6,0,-4.3,82,1.449137674618944,0.0,70
31,1,3,0,7,0,-4.4,81,1.5811388300841898,0.0,146
32,1,3,0,8,1,-4.2,79,1.449137674618944,0.01,219
33,1,3,0,9,1,-2.9,68,1.2649110640673518,0.3,328
34,1,3,0,10,1,-0.4,57,1.2649110640673518,0.8,334
35,1,3,0,11,1,1.9,49,1.3416407864998738,1.0,388
36,1,3,0,12,1,4.3,41,1.140175425099138,1.09,479
37,1,3,0,13,1,6.0,36,1.3416407864998738,1.12,606
38,1,3,0,14,1,7.3,35,1.140175425099138,0.99,611
39,1,3,0,15,1,7.6,41,1.51657508881031,0.74,589
40,1,3,0,16,1,6.4,48,1.61245154965971,0.22,618
41,1,3,0,17,1,6.0,51,1.5811388300841898,0.06,572
42,1,3,0,18,1,5.5,53,1.224744871391589,0.0,489
43,1,3,0,19,1,5.0,52,1.51657508881031,0.0,385
44,1,3,0,20,0,4.6,51,1.0954451150103321,0.0,359
45,1,3,0,21,0,4.1,55,1.0954451150103321,0.0,377
46,1,3,0,22,0,3.5,54,1.224744871391589,0.0,354
47,1,3,0,23,0,4.0,56,1.0,0.0,366
48,1,3,0,0,0,4.0,58,1.1832159566199232,0.0,342
49,1,3,0,1,0,3.9,69,1.3038404810405297,0.0,227
50,1,3,0,2,0,3.3,79,1.1832159566199232,0.0,228
51,1,3,0,3,0,3.4,71,1.2649110640673518,0.0,117
52,1,3,0,4,0,3.5,73,1.0,0.0,76
53,1,3,0,5,0,3.9,75,1.378404875209022,0.0,32
54,1,3,0,6,0,3.4,86,1.5811388300841898,0.0,13
55,1,3,0,7,0,3.1,91,1.0954451150103321,0.0,22
56,1,3,0,8,1,3.2,92,1.3416407864998738,0.0,85
57,1,3,0,9,1,3.5,91,1.3416407864998738,0.02,152
58,1,3,0,10,1,4.4,89,1.4832396974191326,0.24,200
59,1,3,0,11,1,5.1,87,1.1832159566199232,0.25,273
60,1,3,0,12,1,5.8,85,1.3038404810405297,0.43,333
61,1,3,0,13,1,6.8,81,1.378404875209022,0.6,495
62,1,3,0,14,1,7.6,76,1.0954451150103321,0.69,563
